		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   65   98   97  105   98   95   86   79 14.589555 0.067635 SUCCESS   0
000000011   82   99  110  112   93   81  100   90 10.426237 0.236374 SUCCESS   1
000000101   86   91   94   95   97   98   86  100  2.286671 0.970938 SUCCESS   2
000000111   96  108   99  112   87   85   99   85  8.335703 0.401383 SUCCESS   3
000001001   66   97  100   95   76   87   79   79 19.167975 0.013987 SUCCESS   4
000001011   78   90   86   99   92   87   98   87  5.785688 0.671224 SUCCESS   5
000001101   85   90   95  107   74   91   72  127 24.768450 0.001701 FAILURE   6
000001111  108   92  102   90   82  110  105   84  9.573501 0.296245 SUCCESS   7
000010001   75   89   84   83   87   92   94   99  8.241485 0.410244 SUCCESS   8
000010011   63  103   92   99   98   94   76  102 16.518964 0.035527 SUCCESS   9
000010101   96   96   98   84   92  105   87   92  3.367782 0.909205 SUCCESS  10
000010111   92   88   72   91   98   79  110   92 11.774980 0.161530 SUCCESS  11
000011001   87  105  102  100   81  108  106   96  8.108352 0.422958 SUCCESS  12
000011011   90   96  103   90   85   92   86  110  5.741651 0.676145 SUCCESS  13
000011101   92  103  112  109   86   92  102   98  7.965319 0.436865 SUCCESS  14
000011111  110  101   86   95   87   95  103   81  7.270295 0.507771 SUCCESS  15
000100011   81   88   81  109  104  101   87   97  8.902714 0.350569 SUCCESS  16
000100101   90   82   97   88   91   90   95   73  8.055440 0.428073 SUCCESS  17
000100111   77   90   76   95  101   94   89  103  9.010928 0.341375 SUCCESS  18
000101001  109   96   80   82   97   90   69   96 13.883607 0.084850 SUCCESS  19
000101011   97  117  103  113   89   94   99   93 10.523868 0.230163 SUCCESS  20
000101101   94  101  103  101   81   76   99   99  7.897046 0.443591 SUCCESS  21
000101111  108   85   82   74  100   92  118  103 16.474927 0.036065 SUCCESS  22
000110011   93  107   80  101   90  108  103   94  7.421179 0.491945 SUCCESS  23
000110101  111   89  104  110   94  102   92  104  8.400904 0.395320 SUCCESS  24
000110111   79   90  111   81  107  107   93  102 11.813213 0.159734 SUCCESS  25
000111001  102   97   89   94   90   94   89   98  1.717953 0.988472 SUCCESS  26
000111011  106   95   97  104   99  100   93   86  3.779471 0.876452 SUCCESS  27
000111101  104   92   99   92   87   97  108  102  4.540379 0.805380 SUCCESS  28
000111111  109   98   90   96   98   97  103   90  3.797564 0.874910 SUCCESS  29
001000011   85   96  103   98   69  101   88  105 11.207969 0.190192 SUCCESS  30
001000101   86  102   82   96   94   95  113  105  8.022328 0.431292 SUCCESS  31
001000111   99  101   88   91  114   96  101   88  6.299446 0.613728 SUCCESS  32
001001011   90  104  103   80   95   92  102   85  5.985729 0.648831 SUCCESS  33
001001101   86   94   94  102  108   91   79   88  6.674950 0.572074 SUCCESS  34
001001111   93   98   84   98   95   93   92  103  2.383961 0.966922 SUCCESS  35
001010011  100   82   84   96   78   93   85   93  7.446782 0.489282 SUCCESS  36
001010101   96   90  102   94  100   86   92   85  3.080692 0.929192 SUCCESS  37
001010111  109   98   97  104   94   82  107  101  7.230014 0.512032 SUCCESS  38
001011011  104  109  116   93   84   86   97   94 10.322462 0.243119 SUCCESS  39
001011101   79   93   94   88  106   84   99   71 12.176428 0.143504 SUCCESS  40
001011111  106   90   83   79  114  105   99  108 13.202579 0.105067 SUCCESS  41
001100101   89   90  101  101   82  103   93  109  6.249606 0.619294 SUCCESS  42
001100111   82   83   81   99   91  119  101  101 12.976252 0.112669 SUCCESS  43
001101011  118  103  106  108  110   93   96   94 12.665949 0.123872 SUCCESS  44
001101101  118   90   94  111   89   93   87   95 10.126517 0.256258 SUCCESS  45
