		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  105   76   80   99   93   94   85   93  8.617672 0.375567 SUCCESS   0
000000011   90   73   97  107   96   95   84   98  8.473957 0.388593 SUCCESS   1
000000101   99   97   86   86   77   86  100  113 10.119348 0.256749 SUCCESS   2
000000111   93   97   84  113   93   97   91   88  5.726631 0.677822 SUCCESS   3
000001001   92   88   76   85   72  103   87  107 14.070335 0.079950 SUCCESS   4
000001011   92   82   84   86   75   94  100  103  9.197656 0.325897 SUCCESS   5
000001101  100   79  105   97   88  100   93   82  6.798525 0.558518 SUCCESS   6
000001111   95  106  100  120   85  107   83   83 14.379273 0.072400 SUCCESS   7
000010001   94   83  108   89   94   90   87   85  5.693177 0.681556 SUCCESS   8
000010011   99   94   75   89   97  106   92   87  6.970233 0.539848 SUCCESS   9
000010101   85   86   80  105  110   96   82   94  9.704928 0.286350 SUCCESS  10
000010111  100   81   78   77   96   78   94   94 11.865101 0.157325 SUCCESS  11
000011001  110  110   90   89   99   86  105   98  8.035300 0.430030 SUCCESS  12
000011011  104   89  103   89  104   87   94   86  4.830883 0.775489 SUCCESS  13
000011101  100   98   91  113   91   89   81   92  6.866457 0.551107 SUCCESS  14
000011111  111   95  103   91   93   94   98   99  4.179554 0.840571 SUCCESS  15
000100011  103   94  102   90  107   87   93   92  3.999312 0.857186 SUCCESS  16
000100101  100   87   77   95   85   95   97   92  5.525907 0.700168 SUCCESS  17
000100111  102   85   82   94   98  113   96   95  7.178467 0.517506 SUCCESS  18
000101001   75   86   98   86   85   83   71   97 14.681724 0.065638 SUCCESS  19
000101011   91   97   91  111  104   97   83   97  5.823238 0.667024 SUCCESS  20
000101101  103   85   89   79   78   92   94   97  7.992287 0.434224 SUCCESS  21
000101111   96   73   88   92   87   88   87   96  7.505497 0.483199 SUCCESS  22
000110011   89   94   89   96   80   85   93  100  4.441041 0.815302 SUCCESS  23
000110101  106   88  105  106   75   85  112   96 13.003562 0.111727 SUCCESS  24
000110111  100  101   93   93   96   99  109   98  3.396116 0.907101 SUCCESS  25
000111001   93   98   99   63  105   68   77   71 29.782797 0.000231 FAILURE  26
000111011  104  108   94  113   91   98   86   86  8.476688 0.388342 SUCCESS  27
000111101   77  107   94  116  112  107  107   90 16.884568 0.031334 SUCCESS  28
000111111  111   95  100  112  109   99   72   98 14.686845 0.065528 SUCCESS  29
001000011  100  112   96  102   94   93   97   90  4.529114 0.806513 SUCCESS  30
001000101   74   85  100   85   79  107   68   78 22.172351 0.004606 FAILURE  31
001000111  100   99   85   92  113  100   75   90 10.059950 0.260843 SUCCESS  32
001001011   98   88   86   88   90   99   89   83  4.197646 0.838865 SUCCESS  33
001001101   97  107   75   87  101   86   93   97  7.938351 0.439515 SUCCESS  34
001001111   93   86  107  100  110  106   88   88  7.763230 0.456934 SUCCESS  35
