		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100110000   73   94  117  121  106   80  108  104 24.797808 0.001682 FAILURE  78
100111000   69   70   61   99   73   72   71   90 43.543661 0.000001 FAILURE  79
101000000   89  132  151  135  145  108  108  159 144.751606 0.000000 FAILURE  80
101000100   25   29   46   42   33   39   33   25 326.299361 0.000000 FAILURE  81
101001000   37   42   35   38   42   31   41   38 281.763195 0.000000 FAILURE  82
101001100   32   20   37   34   31   23   28   34 369.528430 0.000000 FAILURE  83
101010000   29   31   52   30   39   31   36   46 298.601487 0.000000 FAILURE  84
101010100    9   13    8    9    5    9    8   15 634.692099 0.000000 FAILURE  85
101011000   34   28   37   33   22   26   31   28 368.698224 0.000000 FAILURE  86
101011100   32   31   40   22   34   28   32   27 359.233811 0.000000 FAILURE  87
101100000   93   96  113  110   89   89   84  103  8.990446 0.343103 SUCCESS  88
101100100   26   42   28   35   37   29   33   24 348.826200 0.000000 FAILURE  89
101101000   28   32   31   48   33   31   37   30 327.399247 0.000000 FAILURE  90
101101100   31   41   23   45   33   25   24   21 367.241268 0.000000 FAILURE  91
101110000   84  106  113  107  106   90  109   95 11.859639 0.157577 SUCCESS  92
101110100   38   41   30   39   40   35   34   28 306.412999 0.000000 FAILURE  93
101111000  107  125  100  113  101  129  111  124 41.305997 0.000002 FAILURE  94
101111100  142  117   96   88   99  115  107  111 39.711470 0.000004 FAILURE  95
110000000  260  353  477  438  413  324  378  421 7633.575923 0.000000 FAILURE  96
110000010   76   89   97  103   83   89  101   88  7.740017 0.459269 SUCCESS  97
110000100  105  109  135  121  100   85  112   99 33.562418 0.000049 FAILURE  98
110001000   87  104  125  130  107  101   96  109 29.634302 0.000245 FAILURE  99
110001010   21   21   30   32   28   15   30   31 415.043979 0.000000 FAILURE 100
110010000   86   83  103  106   86   89  102  113  9.898142 0.272248 SUCCESS 101
110010010   24   34   26   22   34   27   25   30 392.925415 0.000000 FAILURE 102
110010100   28   26   24   26   27   23   23   26 419.912903 0.000000 FAILURE 103
110011000   71   93  106   98  105   76  112   96 15.947515 0.043138 SUCCESS 104
110011010   26   33   37   28   43   34   35   30 331.914855 0.000000 FAILURE 105
110100000   67  127  114  102  132  104   89  123 49.737774 0.000000 FAILURE 106
110100010   29   31   34   41   36   38   33   28 325.869920 0.000000 FAILURE 107
110100100   39   37   29   39   37   31   41   31 307.530977 0.000000 FAILURE 108
110101000   27   27   48   27   26   32   35   36 344.791236 0.000000 FAILURE 109
110101010   15   16   11    8    6   10   12   10 612.668435 0.000000 FAILURE 110
110101100   33   38   32   28   25   30   33   25 361.382378 0.000000 FAILURE 111
110110000   99  106  107  101   91   91   74   81 10.708548 0.218766 SUCCESS 112
110110010   31   40   21   27   40   31   37   30 345.210094 0.000000 FAILURE 113
110110100   30   29   32   45   30   28   37   33 334.784390 0.000000 FAILURE 114
110111000   84  105  103   97  102  102  110  101  7.403428 0.493796 SUCCESS 115
110111010   49   50   33   33   43   41   37   37 260.980402 0.000000 FAILURE 116
110111100  115  125  103  114  113  143  126  123 68.070572 0.000000 FAILURE 117
111000000  250  314  347  365  330  280  333  352 4606.793117 0.000000 FAILURE 118
111000010   95  113  121   91   96   83  119  103 20.120391 0.009890 FAILURE 119
111000100   83  108  111  132  115   99  100   95 26.592035 0.000831 FAILURE 120
111000110   89   89   88   79   65   88   74   69 25.843075 0.001117 FAILURE 121
111001000   81   72   91   90   88   87   95  100  9.483039 0.303198 SUCCESS 122
111001010   41   35   29   30   34   29   26   26 353.516589 0.000000 FAILURE 123
111001100   94   99  113   94  103   96  118   89 10.957064 0.204144 SUCCESS 124
111010000   81  118   98   82  122   88   97  112 21.845321 0.005211 FAILURE 125
111010010   36   37   28   35   42   36   40   28 310.509750 0.000000 FAILURE 126
111010100   36   30   40   27   30   39   29   39 326.481651 0.000000 FAILURE 127
111010110   47   43   33   31   29   47   29   29 305.986631 0.000000 FAILURE 128
111011000  100   94   95   91   89   96   75   83  6.549668 0.585904 SUCCESS 129
111011010   39   34   40   45   35   40   43   40 267.036602 0.000000 FAILURE 130
111011100  108  121   98  118  122  121  127  104 43.675429 0.000001 FAILURE 131
111100000  272  298  305  295  290  284  323  310 3601.071979 0.000000 FAILURE 132
111100010  103  109   96  139  113  110   99   97 30.984410 0.000141 FAILURE 133
111100100  103   84   81   88   89  109  103   94  7.886463 0.444639 SUCCESS 134
111100110  127  102  111  111  104  141  126  109 55.187705 0.000000 FAILURE 135
111101000   90  115   84   86  138  105   99  110 31.261942 0.000126 FAILURE 136
111101010   57   40   30   27   30   45   35   34 295.615204 0.000000 FAILURE 137
111101100  130  113   93   90  101  110  109  105 23.983988 0.002306 FAILURE 138
111101110  175  159  136  134  154  153  156  136 286.602079 0.000000 FAILURE 139
111110000  300  316  310  293  291  290  341  291 3853.531999 0.000000 FAILURE 140
111110010  131  100   87  105  110  122  106  112 31.941263 0.000095 FAILURE 141
111110100  119  117   92   86  131  129  123  103 49.623757 0.000000 FAILURE 142
111110110  161  150  107  118  143  147  142  124 178.393029 0.000000 FAILURE 143
111111000  373  350  323  345  338  325  354  314 5298.814276 0.000000 FAILURE 144
111111010  188  155  112  102  149  168  142  137 273.790558 0.000000 FAILURE 145
111111100  535  419  373  397  435  469  449  413 10386.008862 0.000000 FAILURE 146
111111110  869  657  485  519  648  730  608  545 26482.713658 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  457  409  811  666  829  789  804  650 31706.109086 0.000000 FAILURE   0
000000011  355  347  576  480  527  518  538  448 13098.566326 0.000000 FAILURE   1
000000101  112   78  162  168  196  189  164  160 423.051436 0.000000 FAILURE   2
000000111  317  311  425  377  388  387  409  384 6980.976220 0.000000 FAILURE   3
000001001  114   96  169  149  157  155  176  149 283.380253 0.000000 FAILURE   4
000001011   92   70  121  131  146  142  114  117 91.490770 0.000000 FAILURE   5
000001101   75   93  137  125  133  130  141   91 87.151307 0.000000 FAILURE   6
000001111  266  278  365  321  354  300  320  322 4359.954054 0.000000 FAILURE   7
000010001  117  137  143  153  162  151  208  147 342.082144 0.000000 FAILURE   8
000010011  107   81  128  113  102  116  122  106 34.620998 0.000031 FAILURE   9
000010101   36   24   36   48   58   36   54   46 249.803690 0.000000 FAILURE  10
000010111   95   77   98  108  118  120   91  111 21.486202 0.005962 FAILURE  11
000011001  104  113  126  122  138  133  122  122 76.370581 0.000000 FAILURE  12
000011011   65   82  109  110  103  106  102   85 19.948683 0.010532 SUCCESS  13
000011101  119  116  108  125  104  141  111  122 58.889153 0.000000 FAILURE  14
000011111  285  311  316  290  278  267  282  296 3376.456280 0.000000 FAILURE  15
000100011  108  101  120  123  113  119  150  120 68.734191 0.000000 FAILURE  16
000100101   34   29   45   41   48   36   42   43 266.613989 0.000000 FAILURE  17
000100111  109   93  115   89   92   95   93  103  8.005942 0.432890 SUCCESS  18
000101001   21   28   55   38   42   52   29   42 287.738150 0.000000 FAILURE  19
000101011   39   24   25   33   46   29   38   43 320.228823 0.000000 FAILURE  20
000101101   39   37   29   37   46   31   39   26 309.169541 0.000000 FAILURE  21
000101111   92   86   88  100   97   98   79   98  4.679999 0.791166 SUCCESS  22
000110011   93  125  110  115  111  106  112  105 25.918176 0.001085 FAILURE  23
000110101   34   44   28   37   28   36   31   25 336.623337 0.000000 FAILURE  24
000110111   84   86   90  100   81  100   88  101  5.889805 0.659574 SUCCESS  25
000111001   76   82   85   86   81   92   73   92 14.734295 0.064523 SUCCESS  26
000111011  135  119  102  110   84  112   92  105 33.151753 0.000058 FAILURE  27
000111101  110   98  120  117  103   93  121  110 26.068036 0.001023 FAILURE  28
000111111  333  369  286  309  271  279  305  335 4169.196888 0.000000 FAILURE  29
001000011  107  104  136  131  118  153  126  120 96.523210 0.000000 FAILURE  30
001000101   31   31   35   36   45   44   29   26 318.699497 0.000000 FAILURE  31
001000111  115   95  109  119  102  102  132  100 29.927537 0.000218 FAILURE  32
001001011   33   29   34   35   35   32   31   38 328.939838 0.000000 FAILURE  33
001001101   31   25   23   25   22   26   30   25 414.370461 0.000000 FAILURE  34
001001111  114  105   95   82   98   78   84  104 12.353257 0.136125 SUCCESS  35
001010011   28   26   41   32   30   37   22   37 350.490366 0.000000 FAILURE  36
001010101   13    8    9   15   13   15   10    9 605.137868 0.000000 FAILURE  37
001010111   32   28   28   28   37   24   33   31 365.304349 0.000000 FAILURE  38
001011011   49   35   31   36   36   29   30   27 324.001616 0.000000 FAILURE  39
001011101   36   33   32   30   35   34   31   37 327.472299 0.000000 FAILURE  40
001011111  118  104   90   89  110   91   59  116 29.068315 0.000308 FAILURE  41
001100101   27   21   27   29   39   25   38   47 353.243154 0.000000 FAILURE  42
001100111   95  106   97  100   96   98   90   94  2.155928 0.975854 SUCCESS  43
001101011   29   38   23   29   34   29   30   27 368.457902 0.000000 FAILURE  44
