		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   93   90   96  105   98   96   94   80  3.950155 0.861592 SUCCESS   0
000000011   93   87   94  103  102   87   98   82  4.540721 0.805345 SUCCESS   1
000000101   98   98  102   89  103   98  103   84  4.060417 0.851632 SUCCESS   2
000000111   86  102   78   91   97   84   89  101  6.683826 0.571098 SUCCESS   3
000001001  117  101   95   94   74   99   85  102 12.370666 0.135416 SUCCESS   4
000001011   93  108   84  100  105   98  101   88  5.735166 0.676869 SUCCESS   5
000001101   71   91   87   98  105   76  103   92 12.841754 0.117412 SUCCESS   6
000001111   86   95  105   89   96   96   99   96  2.601754 0.956817 SUCCESS   7
000010001   90  101   88   94   73   71   93   99 12.654001 0.124322 SUCCESS   8
000010011  116  106   97   87   87   84   83   93 10.478808 0.233014 SUCCESS   9
000010101   80  114  112   96   99   94   88   83 11.915624 0.155008 SUCCESS  10
000010111   94  123  101  103   91   84  106   71 18.880544 0.015512 SUCCESS  11
000011001   90   98  109   98   99   83   77   87  8.470202 0.388937 SUCCESS  12
000011011   88   88   88  107  103   90   91   95  4.263530 0.832598 SUCCESS  13
000011101   95  107   65   96  100   90  101   95 12.285325 0.138920 SUCCESS  14
000011111   89  103  106   79   89   83   95   93  7.065133 0.529622 SUCCESS  15
000100011  101  101   90   88   81   88   89   97  4.538331 0.805586 SUCCESS  16
000100101   95  113   86   91   86   99  103  101  6.860654 0.551739 SUCCESS  17
000100111  101  106   93   90   92   95  103   92  3.023001 0.932906 SUCCESS  18
000101001   79   88   88   89   89   95   92   98  4.558472 0.803555 SUCCESS  19
000101011   85  114  113   94   91   89   86   96 10.116617 0.256936 SUCCESS  20
000101101   98   90   82  106  107  116  109   93 12.417775 0.133514 SUCCESS  21
000101111   98   96   89  105   95   99  118   66 16.787620 0.032398 SUCCESS  22
000110011  103  100  112  104   87   90   77   94  9.596032 0.294531 SUCCESS  23
000110101   80   81  106   90   94   96  100   83  7.856082 0.447653 SUCCESS  24
000110111   93   72   83  104   98  104   92   97  9.292897 0.318193 SUCCESS  25
000111001   82   99   93   87   85   90   87   90  4.773875 0.781449 SUCCESS  26
000111011   99  103   67   92   87   89  101   96 10.856019 0.209992 SUCCESS  27
000111101   91   77   89   95   93  113   95   94  7.617466 0.471700 SUCCESS  28
000111111  108  107  111   96  101   78   92   95 10.085211 0.259096 SUCCESS  29
001000011   81   85   92   92   97   72  100  100  9.514103 0.300797 SUCCESS  30
001000101   78  106  104   88   77   74   87   98 14.718250 0.064861 SUCCESS  31
001000111   94   94   91   99   89  105   88   99  2.569324 0.958420 SUCCESS  32
001001011   97  103   79   76   83   81   89   99 11.394355 0.180340 SUCCESS  33
001001101  114  119  108   87  101   89   90  111 17.069248 0.029396 SUCCESS  34
001001111  106  123   96   86  111   93   93  124 23.378060 0.002911 FAILURE  35
001010011   83   79   97   93   91  103   92   95  5.244962 0.731102 SUCCESS  36
001010101  100   98  101   91   83   88   96  111  5.921894 0.655981 SUCCESS  37
001010111   91  104  109   98   98   90   83   94  5.313918 0.723557 SUCCESS  38
001011011   97   91   80   97  107  106  116   94 10.653247 0.222131 SUCCESS  39
001011101   80  107   91   92   75  102   96  101  9.507617 0.301297 SUCCESS  40
001011111   96   89   89  106  107   78  107   77 11.892069 0.156085 SUCCESS  41
001100101  112   94   98   98   85  101   92   94  5.069158 0.750160 SUCCESS  42
001100111  109   95   99   96   84  107   84   87  7.259030 0.508961 SUCCESS  43
001101011   87  100  109   85  101   99   98   77  8.392029 0.396142 SUCCESS  44
001101101   90   99   96  104   95   90   98   89  2.124863 0.976943 SUCCESS  45
001101111   97   85   93  102  100  107  111   91  6.728203 0.566221 SUCCESS  46
001110101  107   89   83  101  103  109   97   85  8.018573 0.431658 SUCCESS  47
001110111  102   93   81   88   86  113  108   93  9.607297 0.293677 SUCCESS  48
001111011   97   89  107   98  102  104  107  110  7.955761 0.437803 SUCCESS  49
001111101   93   84  105   82   90   98  103  105  6.476274 0.594040 SUCCESS  50
001111111  114   99  107  116  104   83   79  107 17.696682 0.023619 SUCCESS  51
010000011   92   89  106   85   88   81   83   84  8.113473 0.422465 SUCCESS  52
010000111   96   93   91   86   91   77   98  108  6.638765 0.576060 SUCCESS  53
010001011   81   87   90   84   90   88   94   99  5.101587 0.746665 SUCCESS  54
010001111   96   89   92  101   93  106   90   88  3.043142 0.931621 SUCCESS  55
010010011   97  102   93   98   97   91  106  126 13.126795 0.107561 SUCCESS  56
010010111  101   98   95   92   81   99  103   97  3.700957 0.883046 SUCCESS  57
010011011   97   95   96   97   94   85  107  105  3.991119 0.857924 SUCCESS  58
010011111  104  109  100  102  101   98   87  105  6.456475 0.596239 SUCCESS  59
010100011   84   91   98   93   78   97  101   91  5.223114 0.733485 SUCCESS  60
010100111   91   91  115  106  108  100  102   85 10.069508 0.260181 SUCCESS  61
