		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   93   97   81   99   90   96   83   83  5.570285 0.695241 SUCCESS   0
000000011   85  107   76  110  101  100   84   87 11.691687 0.165499 SUCCESS   1
000000101   83  100   91   89   83   91   95   92  4.011601 0.856075 SUCCESS   2
000000111   92  104   78   93  107   90   85   85  8.037689 0.429797 SUCCESS   3
000001001   85   71   84   84   77   84   94   87 14.934677 0.060428 SUCCESS   4
000001011   84   78   86   89   96   80   94   99  8.033593 0.430196 SUCCESS   5
000001101   90  108   89   97   86   98   94   81  5.578819 0.694293 SUCCESS   6
000001111   98  105  100  103  103  103   77   76 11.089173 0.196698 SUCCESS   7
000010001   99   85   90  108   99   99   65   93 13.462701 0.096890 SUCCESS   8
000010011   89   84   92   88   78   82   96   93  6.999932 0.536640 SUCCESS   9
000010101   94   86   93   90   99  110  100  107  5.836893 0.665496 SUCCESS  10
000010111   86   92   95   88   95   73  103  102  7.862909 0.446975 SUCCESS  11
000011001   82  104  108   96  111   91   92   86  8.623476 0.375047 SUCCESS  12
000011011   84  107   88  101  111   93  106   97  8.231927 0.411149 SUCCESS  13
000011101  102  106   76   90   98   85   87  100  8.131224 0.420758 SUCCESS  14
000011111   92  115  101   99  102   87   96  100  6.793063 0.559115 SUCCESS  15
000100011   87   99   97  107   93  118   79   86 12.046709 0.149132 SUCCESS  16
000100101  103   92   92   92   92  119  105  107 10.360353 0.240639 SUCCESS  17
000100111  100   98  101   76   93   92   99   92  5.068133 0.750270 SUCCESS  18
000101001   93   90   98   71   97  101   92   78 10.122079 0.256562 SUCCESS  19
000101011   90   72   76   96   93  109  110  101 14.958232 0.059963 SUCCESS  20
000101101   87   96   98   87   87   83   97   88  4.102746 0.847736 SUCCESS  21
000101111   99   80  107   80   83   79  120   72 23.361675 0.002930 FAILURE  22
