		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   80   64   77   92   94   84   93   99 17.601782 0.024418 SUCCESS   0
000000011   81   75   83  103   96   89   96  105 10.070191 0.260134 SUCCESS   1
000000101   89   70  108   98   94   92   94   87  9.793001 0.279856 SUCCESS   2
000000111   89   88   97   94   94  102   80   94  3.849793 0.870415 SUCCESS   3
000001001   83   80  104   93   66   80  106   82 19.308277 0.013295 SUCCESS   4
000001011  106   81   98   86   97   94   83   85  6.960333 0.540918 SUCCESS   5
000001101   85   81   95  108  105   92   90   97  6.546255 0.586282 SUCCESS   6
000001111   84   91   88   80   96  106   94  104  6.605653 0.579714 SUCCESS   7
000010001   77   80   99  100  101   98  102  104  8.373253 0.397884 SUCCESS   8
000010011   98   85   82  106   78   86   97   85  9.237596 0.322651 SUCCESS   9
000010101   94   89   98  102   84   95   85   89  3.682523 0.884572 SUCCESS  10
000010111  100   81   92   98   90  112   86   94  6.895815 0.547914 SUCCESS  11
000011001   80  106  102   88   89   93   98  106  6.730934 0.565921 SUCCESS  12
000011011   81   83   94   93  100   97  102   87  5.164399 0.739869 SUCCESS  13
000011101  110   92  104  104   88   92   98   95  5.231990 0.732517 SUCCESS  14
000011111   94   95   95   72   96  110   89  102  9.146109 0.330121 SUCCESS  15
000100011   85   90   90   96  105   98  114   83  8.373253 0.397884 SUCCESS  16
000100101   78   85   97   89  113   84   79   88 12.551591 0.128238 SUCCESS  17
000100111   84   93   85   81   79   74   80   91 14.188107 0.076992 SUCCESS  18
000101001   88   93   85   99   91   88   97   98  2.557034 0.959018 SUCCESS  19
000101011   99   89   90   88   96  101   84   82  4.735642 0.785421 SUCCESS  20
000101101   93   99   87   93   88   73   90   83  8.252068 0.409243 SUCCESS  21
000101111   99   78   99   91   95  115   97   88  8.653516 0.372362 SUCCESS  22
000110011   84   99  115   88  104   90   93   97  7.727727 0.460508 SUCCESS  23
000110101  112   98  115   93   94   98  101  101  8.946409 0.346837 SUCCESS  24
000110111   90   97   93  113   86  106   94   84  7.469995 0.486873 SUCCESS  25
000111001   79  113   91   88   90   90   92   87  8.183794 0.415726 SUCCESS  26
000111011  121   96  108  103   86   99   91   92 11.540802 0.172898 SUCCESS  27
000111101   93  108   84   91  126  102  103   88 15.914061 0.043627 SUCCESS  28
000111111  101  102  102   93  105   98   95  109  5.171226 0.739128 SUCCESS  29
001000011   96  110  110   82   71  107  100   89 15.349439 0.052697 SUCCESS  30
001000101   72   87   93   99   83   94  100   95  8.297470 0.404965 SUCCESS  31
001000111   94  101   96   91   95   95  102   73  6.328462 0.610491 SUCCESS  32
001001011   63   87  100   95   85   94   84   85 15.204699 0.055285 SUCCESS  33
001001101   93   97   91   90   93   89   83   81  4.387447 0.820585 SUCCESS  34
001001111   84   94   97   91   88   85   82  110  7.284291 0.506293 SUCCESS  35
001010011   96   84   88   95   93   86   98  120  9.731554 0.284375 SUCCESS  36
001010101  106   92  101   95  107   92   86   85  5.499963 0.703044 SUCCESS  37
001010111   93  100   90   86  102   96   91   93  2.184261 0.974835 SUCCESS  38
001011011  104   97   95   96   89   75   95   86  6.431555 0.599009 SUCCESS  39
001011101   94   96   92   94   97   97   87   98  0.989475 0.998314 SUCCESS  40
001011111   91   89  102  101   89  104   93   95  2.856414 0.943042 SUCCESS  41
001100101  114  121   94   92   80  102   88  120 22.167913 0.004614 FAILURE  42
001100111   86  104  110   94   99   95   94   92  4.632207 0.796065 SUCCESS  43
001101011   99  103  117  102   97   93  114  117 16.611474 0.034419 SUCCESS  44
001101101  111   75  105   89  105   98   95  109 12.186328 0.143082 SUCCESS  45
001101111   91   97   98  104   83  101   95   97  3.264006 0.916714 SUCCESS  46
001110101   86   86  101  109  104   86  102   97  6.740834 0.564835 SUCCESS  47
001110111  111   87  108   87   98   94  104  101  7.652627 0.468116 SUCCESS  48
001111011   83  120   90   89  111   94   79   81 16.727881 0.033071 SUCCESS  49
001111101   98  116  103   85  106   95  111   83 12.673118 0.123602 SUCCESS  50
001111111  112  102  100   96  102  111   84  114 13.019947 0.111165 SUCCESS  51
010000011  107   86   97  107   96   84   97   93  5.554241 0.697023 SUCCESS  52
010000111   97  125  102   81   79   88  113  102 20.160672 0.009745 FAILURE  53
010001011   77  103  106   94   94   87   92   94  6.306615 0.612928 SUCCESS  54
010001111   96  110   93  102  110   97  108   94  7.774153 0.455837 SUCCESS  55
010010011   91   86   99   81   95   91   83   84  6.095991 0.636480 SUCCESS  56
010010111   67   87   95  101   91  105   95   93 10.790476 0.213856 SUCCESS  57
010011011  104   97  101   90   92   98   78  105  6.086091 0.637589 SUCCESS  58
010011111  104   96  124   98   92   96   89  109 13.178000 0.105870 SUCCESS  59
