		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   81  101   87  105   86   80   79   86 10.964915 0.203695 SUCCESS   0
000000011   94   79   92   92   79   89  103   92  6.713866 0.567795 SUCCESS   1
000000101  100  105   71   93   90   88   99   95  8.557592 0.380979 SUCCESS   2
000000111   98   88   95   94   87  106   90   79  5.579502 0.694217 SUCCESS   3
000001001  100   88   83  120   83   92   92   92 11.014413 0.200884 SUCCESS   4
000001011   94   97   81   95   79  100  100   84  6.654468 0.574330 SUCCESS   5
000001101  100   84   96   91   68   90   93   83 11.248933 0.187989 SUCCESS   6
000001111   91   85  112   92   94  100   98   79  7.646141 0.468776 SUCCESS   7
000010001   99   80   98   91   91   80   72   89 11.289556 0.185826 SUCCESS   8
000010011   99   90   89  108   94   87   77   94  6.799208 0.558444 SUCCESS   9
000010101  102   79   87  107   99   94  101  101  6.657199 0.574029 SUCCESS  10
000010111  105  102  103   93   87   90   89   99  3.977464 0.859151 SUCCESS  11
000011001  109   81  101   80   93  107   97   91  8.970646 0.344778 SUCCESS  12
000011011  113   92   98   69   90   89   94   91 11.809800 0.159894 SUCCESS  13
000011101   84  104  100   87   81  110   76   83 13.052719 0.110049 SUCCESS  14
000011111   92   87  103   87   91  115   74   80 13.802362 0.087064 SUCCESS  15
000100011   90   94   83   84   90   93   83   90  4.971185 0.760651 SUCCESS  16
000100101  115  101   97  100   95   95  115   94  9.842158 0.276280 SUCCESS  17
000100111   99   73   93   87   89   90   87   99  7.446099 0.489353 SUCCESS  18
000101001   73   88  104   97   92   80   73   92 14.264573 0.075125 SUCCESS  19
000101011   93   79   82   96  100   97   90   93  5.125142 0.744121 SUCCESS  20
000101101   81  109   84   97  116   80  107   95 14.569756 0.068071 SUCCESS  21
000101111  110  105   99   93   67   94  102  100 13.233302 0.104071 SUCCESS  22
000110011  119   95  106   81   90   94   79  100 13.146595 0.106904 SUCCESS  23
000110101   75   87   97  113  101  104  103   87 11.387528 0.180693 SUCCESS  24
000110111  107   95   88   79  102   94  103   85  7.201680 0.515038 SUCCESS  25
000111001   95   94   87   94   92   86   97   97  1.671869 0.989473 SUCCESS  26
000111011   80  107  104   75   86  110   84   88 14.307927 0.074084 SUCCESS  27
000111101  103   83   85  103  109   95  111   91  9.328741 0.315327 SUCCESS  28
000111111   99   84   89   85  103  114   81   85 10.724251 0.217818 SUCCESS  29
001000011   98   91  113   87   87   92   68   94 13.077638 0.109206 SUCCESS  30
001000101   90   81   80  103   88   82   88   95  8.117228 0.422104 SUCCESS  31
001000111   92   81   87   84  102   97   89   98  5.125142 0.744121 SUCCESS  32
001001011   97   99   87   93   82   93  102  101  3.746017 0.879281 SUCCESS  33
001001101   88  116   95  118   99   93   86   84 13.702000 0.089871 SUCCESS  34
001001111  108   76   95   99   90   88  101  100  7.426983 0.491341 SUCCESS  35
001010011   91   91  103   86  102   80   84   69 13.255150 0.103367 SUCCESS  36
001010101   84   88   88  100  101   83   94  125 14.504896 0.069518 SUCCESS  37
001010111  104   87   79   96  109  100  103  100  7.916162 0.441702 SUCCESS  38
001011011   95  108   92   94   92   89  114  106  7.936644 0.439683 SUCCESS  39
001011101   95   98   76   98   93   92   92   96  4.257386 0.833187 SUCCESS  40
001011111  106  114  112  104   80   93   94  100 12.410265 0.133816 SUCCESS  41
001100101   95   92   94   89  101  102  108   80  5.751551 0.675039 SUCCESS  42
001100111  107  101   98   88   92   87   94  111  6.343141 0.608854 SUCCESS  43
001101011   89  104  102  125   96  118  101   98 18.458614 0.018039 SUCCESS  44
001101101   85  109   95   96   92   80   94   90  5.957737 0.651966 SUCCESS  45
001101111  103  104   94   87  101   95   92   90  3.111074 0.927195 SUCCESS  46
001110101   82  122   98   91  105   88   77   93 15.273997 0.054032 SUCCESS  47
001110111   68  104  101   90   91  100   95   96  9.875270 0.273890 SUCCESS  48
001111011   97   99  101  100   99  104   99   85  3.393043 0.907330 SUCCESS  49
001111101  107   87  100   78  112  100   91   87 10.029910 0.262933 SUCCESS  50
