		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   90   84   95   88   81   88   94   93  4.533552 0.806067 SUCCESS   0
000000011  102   93  106   84   84   89   95   89  5.211166 0.734786 SUCCESS   1
000000101   82   92   77   89   85   95   93   96  6.667781 0.572863 SUCCESS   2
000000111   98   97   98   83   91   88  104   75  7.600739 0.473409 SUCCESS   3
000001001   98   96   83   84   89   95  102  100  4.121863 0.845965 SUCCESS   4
000001011   89  113   72  105   94   93   99  100 11.351343 0.182575 SUCCESS   5
000001101  114  102  113   90  106   88  106  105 13.030530 0.110803 SUCCESS   6
000001111   78   96   91   77   87   93  102  104  8.824882 0.357283 SUCCESS   7
000010001   86   87   83  106   92  104   85   85  7.426641 0.491376 SUCCESS   8
000010011   77  111   78   87   87   86   94   93 11.502910 0.174798 SUCCESS   9
000010101   79   71   89   98   76   76   94   87 17.541359 0.024940 SUCCESS  10
000010111   95  100   94  103  121   96  104  102 10.202300 0.251113 SUCCESS  11
000011001   90   82  111  104   85  102  103  102  8.808155 0.358737 SUCCESS  12
000011011   92   99  107   90  107   87  101  114  9.002735 0.342065 SUCCESS  13
000011101  108   87   84   81   91  107   94   77 11.093269 0.196470 SUCCESS  14
000011111   96   83  111   85  100   89   88   91  6.736738 0.565285 SUCCESS  15
000100011   95   86   77   97   91  106   95   83  7.331741 0.501299 SUCCESS  16
000100101  102   72   95   96   78  112   93   92 12.646833 0.124593 SUCCESS  17
000100111   85  105   80   94   92   89   98   87  5.736872 0.676679 SUCCESS  18
000101001   69   81  106  103   73   87   90   86 18.233994 0.019539 SUCCESS  19
000101011   84   88   87  100   77   92   97   88  6.718304 0.567308 SUCCESS  20
000101101   94  116   92   90   82  112   89   81 12.717837 0.121934 SUCCESS  21
000101111   99   75   83  105  112   89  101   96 11.173491 0.192061 SUCCESS  22
000110011  100   87  106   98   89   93  105   89  4.374475 0.821856 SUCCESS  23
000110101  105  102   93  102  103   99   82  108  7.025876 0.533843 SUCCESS  24
000110111  101   88  110  106  103   91   98  104  6.868506 0.550884 SUCCESS  25
000111001   91   75   79   86  107   72   97  107 16.873645 0.031452 SUCCESS  26
