		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  106  103   88   94  103  102  100   88  4.791284 0.779633 SUCCESS  76
100101000   99   96   90  108   79   83   98   99  6.899570 0.547506 SUCCESS  77
100110000   93   95   77   71  105   99   81   94 12.981031 0.112504 SUCCESS  78
100111000  100   91  106   94   78  105   91  104  7.163447 0.519105 SUCCESS  79
101000000   90   82  108  100  100  113   89   98  8.695163 0.368661 SUCCESS  80
101000100   86   91  102   92   86   94   85   97  3.540855 0.895996 SUCCESS  81
101001000  114   97   92   89   97   89   96  106  6.401173 0.602389 SUCCESS  82
101001100  100   94   85  103   82   77   94  113 10.934533 0.205436 SUCCESS  83
101010000  109   85  107   72  109   88  103  100 14.336260 0.073411 SUCCESS  84
101010100   81   85   85   90   78   88   94  109 10.094087 0.258484 SUCCESS  85
101011000   99   94   99   91   88  108   83  101  4.913835 0.766745 SUCCESS  86
101011100  107   88   92   91   92  115   81   97  9.064864 0.336854 SUCCESS  87
101100000   70   91   85   99   88   96   84  100 10.082822 0.259261 SUCCESS  88
101100100   87  111   96  103   87   94   93   85  6.032497 0.643592 SUCCESS  89
101101000   77   85   86   96   86   97   89  104  7.456682 0.488254 SUCCESS  90
101101100   81   79  107  116  104   88   93   91 12.968742 0.112930 SUCCESS  91
101110000   93   92  101   85   96   98   95   95  1.710443 0.988639 SUCCESS  92
101110100   95  111   91   97   85  100   89   91  4.950703 0.762832 SUCCESS  93
101111000   99   81  103   98   81   88  107  106  8.715304 0.366879 SUCCESS  94
101111100  116   93   91  102   84   91  101   87  8.205301 0.413677 SUCCESS  95
110000000  100   97   90   88   98  108   79   95  5.839624 0.665191 SUCCESS  96
110000010   80   77  105   80   79   93   95  103 12.751974 0.120673 SUCCESS  97
110000100   93   95  100   94   90   95   89   88  1.424036 0.993899 SUCCESS  98
110001000  104   95   93   70   92   85   96   88  9.236913 0.322706 SUCCESS  99
110001010   96   86   75   98  107   87  106   93  8.924562 0.348700 SUCCESS 100
110010000   98  106   85   84  111   79   86   83 11.693735 0.165401 SUCCESS 101
110010010  110  101   88   94   93  108   99   96  5.690105 0.681899 SUCCESS 102
110010100  105   95   91  119   82   74  100   86 15.332712 0.052990 SUCCESS 103
110011000   92   83   90   86  101   97   80   89  5.825628 0.666757 SUCCESS 104
110011010   94   86   84   76   89   90   90  104  7.657747 0.467596 SUCCESS 105
110100000   90   89  101   97   93  108   74   85  8.747392 0.364052 SUCCESS 106
