		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100110000  101   79  118   83   82  118  129   92 31.202886 0.000129 FAILURE  78
100111000   72   70   86   66   63   73   74   76 46.630647 0.000000 FAILURE  79
101000000   83   88  167  105   79  130  138  131 111.526310 0.000000 FAILURE  80
101000100   26   25   36   35   28   31   45   34 341.047801 0.000000 FAILURE  81
101001000   29   26   44   32   26   35   33   39 335.396121 0.000000 FAILURE  82
101001100   27   33   31   29   30   25   29   43 357.962900 0.000000 FAILURE  83
101010000   24   30   34   35   34   35   40   34 331.324972 0.000000 FAILURE  84
101010100   11   14   11   11   12   17   10   10 597.716540 0.000000 FAILURE  85
101011000   35   25   30   19   22   35   27   26 398.289322 0.000000 FAILURE  86
101011100   31   21   31   24   19   34   33   18 410.947228 0.000000 FAILURE  87
101100000   67   68  114   92   75  120  119   89 38.346341 0.000006 FAILURE  88
101100100   22   19   31   33   26   27   33   42 379.469734 0.000000 FAILURE  89
101101000   35   32   29   38   27   39   44   45 302.880528 0.000000 FAILURE  90
101101100   22   23   24   35   29   21   21   23 429.063941 0.000000 FAILURE  91
101110000  102   77  119   99   76  113  129   88 31.504996 0.000114 FAILURE  92
101110100   36   38   35   33   34   37   35   29 315.684539 0.000000 FAILURE  93
101111000  108   99  110  108  111  115   86  107 16.560269 0.035028 SUCCESS  94
101111100  128  128  111   88  124   90   98  126 48.142564 0.000000 FAILURE  95
110000000  271  230  453  345  207  508  449  341 6665.156009 0.000000 FAILURE  96
110000010   76   71  100   64   75  118   93   99 30.923647 0.000145 FAILURE  97
110000100   81   88  127  121   74  124  107   98 37.361838 0.000010 FAILURE  98
110001000   91   78  124   86   62  127  124  107 47.534247 0.000000 FAILURE  99
110001010   30   22   33   23   25   25   22   28 413.339873 0.000000 FAILURE 100
110010000   72   76  103   87   70  121   99   88 25.736227 0.001165 FAILURE 101
110010010   29   13   27   22   28   31   21   39 413.681923 0.000000 FAILURE 102
110010100   30   28   38   22   29   32   33   36 356.189496 0.000000 FAILURE 103
110011000  106   71  109   77   85  104  118   89 21.445579 0.006053 FAILURE 104
110011010   34   24   29   39   24   22   38   42 353.377994 0.000000 FAILURE 105
110100000   76   73  114   88   80  113  113  103 23.954289 0.002333 FAILURE 106
110100010   22   28   40   30   26   37   43   37 337.934188 0.000000 FAILURE 107
110100100   35   22   40   29   35   37   35   46 316.354302 0.000000 FAILURE 108
110101000   20   27   33   27   32   31   35   35 367.492856 0.000000 FAILURE 109
110101010   15   16   14   10   14   14   14   13 572.495628 0.000000 FAILURE 110
110101100   37   33   27   23   36   29   30   32 357.329322 0.000000 FAILURE 111
110110000   62   77   96   83   88   86   99   96 18.111102 0.020409 SUCCESS 112
110110010   35   19   30   30   31   21   31   33 382.233786 0.000000 FAILURE 113
110110100   37   36   39   38   31   34   32   45 297.232603 0.000000 FAILURE 114
110111000   94   94  110  105   99  100  109   96  6.518262 0.589383 SUCCESS 115
110111010   34   44   43   37   50   36   39   43 256.184530 0.000000 FAILURE 116
110111100  122  116  116  118  140  108  101  116 53.832477 0.000000 FAILURE 117
111000000  249  240  359  293  199  400  360  300 4050.629383 0.000000 FAILURE 118
111000010   85   92  128  117   74  109  113   97 29.318879 0.000279 FAILURE 119
111000100   87   80  105  101   79  107  114  117 18.467148 0.017984 SUCCESS 120
111000110   88   63   74   88   78   82   84   78 25.668978 0.001196 FAILURE 121
111001000   72   72   95   87   80   90   92   90 14.780379 0.063559 SUCCESS 122
111001010   26   35   37   28   37   34   35   34 330.953565 0.000000 FAILURE 123
111001100  115   96   99   86  104   87  117   98 12.719885 0.121858 SUCCESS 124
111010000   71   83   93   86   91   97   98   98  8.909883 0.349955 SUCCESS 125
111010010   40   37   34   34   30   35   35   40 305.539098 0.000000 FAILURE 126
111010100   31   30   31   32   40   36   40   42 310.378665 0.000000 FAILURE 127
111010110   34   41   29   32   49   34   33   33 307.789392 0.000000 FAILURE 128
111011000   74   87   75   90  106   85   88  110 15.253173 0.054406 SUCCESS 129
111011010   49   44   38   39   34   27   30   51 276.533445 0.000000 FAILURE 130
111011100  123  124  109  126  134  101  119  111 57.836717 0.000000 FAILURE 131
111100000  262  274  309  282  224  344  299  272 3203.623637 0.000000 FAILURE 132
111100010  112   87  108  109   99  100  121  111 19.105164 0.014307 SUCCESS 133
111100100   88   77   94   93   97   99   90   90  4.673854 0.791798 SUCCESS 134
111100110  144  107  103  111  138   85  116  141 81.854649 0.000000 FAILURE 135
111101000   92   89   89   88  111   97  101   98  4.797088 0.779027 SUCCESS 136
111101010   42   45   40   32   49   39   46   35 254.232591 0.000000 FAILURE 137
111101100  113  114   85  115  128   79  111  119 37.480633 0.000009 FAILURE 138
111101110  169  199  121  167  211  127  140  150 459.089941 0.000000 FAILURE 139
111110000  300  325  308  302  273  337  279  295 3805.144866 0.000000 FAILURE 140
111110010  127  126  116  115  140   93   88  124 63.977918 0.000000 FAILURE 141
111110100  121  132   84  104  142   95  113  115 57.641113 0.000000 FAILURE 142
111110110  164  201  106  150  191   97  122  134 337.321775 0.000000 FAILURE 143
111111000  412  399  308  378  363  320  327  346 6106.505755 0.000000 FAILURE 144
111111010  190  198  107  139  200  123  140  139 412.887902 0.000000 FAILURE 145
111111100  558  591  353  504  556  352  403  463 13163.902353 0.000000 FAILURE 146
111111110  909  995  454  748  902  445  548  706 36959.581035 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  401  382  428  537  452  177  337  526 9420.478965 0.000000 FAILURE   0
000000011  333  293  345  412  330  176  281  398 4896.196606 0.000000 FAILURE   1
000000101   85  107  111  125  115   42   90  145 78.369629 0.000000 FAILURE   2
000000111  313  247  294  336  291  186  260  338 3301.919376 0.000000 FAILURE   3
000001001  114   95  108  129  127   38   77  125 78.854712 0.000000 FAILURE   4
000001011   80   91  100   98  109   55   80  124 34.112361 0.000039 FAILURE   5
000001101  103   85   76  110   88   46   85   78 38.576764 0.000006 FAILURE   6
000001111  300  264  279  295  282  187  262  289 2778.111817 0.000000 FAILURE   7
000010001  119  103  124  139  130   53  112  136 92.625135 0.000000 FAILURE   8
000010011   99   73   85  100  103   57   65  109 34.787585 0.000029 FAILURE   9
000010101   38   21   22   47   35   21   29   29 369.298690 0.000000 FAILURE  10
000010111   86   91  105   76   85   67   72  108 22.884443 0.003516 FAILURE  11
000011001  102  115  116  120   98   52   75  111 44.229127 0.000001 FAILURE  12
000011011   95   85   84   87   83   56   78   77 27.182601 0.000657 FAILURE  13
000011101  124   88  112  110  133   78   85  114 39.915266 0.000003 FAILURE  14
000011111  336  302  304  296  321  249  289  304 3738.096882 0.000000 FAILURE  15
000100011  118   96  109  112  105   70   95  113 22.971833 0.003401 FAILURE  16
000100101   35   32   35   34   42   14   36   27 349.936668 0.000000 FAILURE  17
000100111  103   74   90  103  110   75   65   97 22.892295 0.003505 FAILURE  18
000101001   34   31   28   28   33   13   23   25 405.164463 0.000000 FAILURE  19
000101011   34   30   23   36   31   25   23   36 370.646409 0.000000 FAILURE  20
000101101   22   37   36   33   36   26   28   44 338.899234 0.000000 FAILURE  21
000101111  102  102   92   94   95   96   85  101  2.735911 0.949822 SUCCESS  22
000110011  100  124  105  117   85   66   72  114 36.015143 0.000017 FAILURE  23
000110101   24   26   26   32   24   19   30   27 413.318025 0.000000 FAILURE  24
000110111   99   85   93   91   86   91   97   80  4.783774 0.780417 SUCCESS  25
000111001   69   64   78   94   63   66   76   76 48.071901 0.000000 FAILURE  26
000111011  117   96  116  109  141   81   96  109 40.426293 0.000003 FAILURE  27
000111101   99   91  129  115  119   80  113  113 33.894568 0.000042 FAILURE  28
000111111  386  385  378  331  395  404  374  353 6946.711119 0.000000 FAILURE  29
001000011  110  108   96  125  118   53  105  112 43.933503 0.000001 FAILURE  30
001000101   32   26   31   28   43   13   36   37 363.231907 0.000000 FAILURE  31
001000111  114  109  115  106  109   85   94   95 15.509882 0.049957 SUCCESS  32
001001011   33   26   45   35   37   14   25   31 363.647010 0.000000 FAILURE  33
001001101   31   30   18   21   28   16   27   29 426.784289 0.000000 FAILURE  34
001001111  103   89   98   96   98   89   64   96 12.017692 0.150416 SUCCESS  35
001010011   26   26   22   30   32   14   29   25 420.542726 0.000000 FAILURE  36
001010101   11    6   11   10   12    4   12   13 629.153411 0.000000 FAILURE  37
001010111   33   39   25   27   38   28   30   35 346.681388 0.000000 FAILURE  38
001011011   26   44   34   33   25   35   36   42 321.153929 0.000000 FAILURE  39
001011101   35   31   39   25   37   33   42   28 326.809364 0.000000 FAILURE  40
001011111  115  143  113  112  106  154  123  106 86.996668 0.000000 FAILURE  41
001100101   31   30   25   33   30   23   34   30 372.248788 0.000000 FAILURE  42
001100111  116  135  108  114   97   97   75  112 36.382113 0.000015 FAILURE  43
001101011   25   31   21   23   31   25   28   31 402.870474 0.000000 FAILURE  44
001101101   29   24   30   18   24   20   20   25 440.979031 0.000000 FAILURE  45
001101111  124  108  115   94  107  128  113  100 33.628984 0.000047 FAILURE  46
001110101   31   30   37   34   35   18   33   31 355.464773 0.000000 FAILURE  47
001110111  122  120  144  135  151  101  126  125 115.377959 0.000000 FAILURE  48
001111011  111  114  142  131  126  121  120  123 79.945381 0.000000 FAILURE  49
001111101  104  104  100   97   98  111  121   97 12.934947 0.114108 SUCCESS  50
001111111  487  518  470  416  482  655  510  458 14700.610349 0.000000 FAILURE  51
010000011   98   84   75  105   91   44   95   82 36.708460 0.000013 FAILURE  52
010000111  113   97  101  121  116   71  100  120 30.146353 0.000199 FAILURE  53
010001011   33   32   25   24   30   14   33   35 389.261860 0.000000 FAILURE  54
010001111  137  131  120   95  125   96   95   99 51.269831 0.000000 FAILURE  55
010010011   22   29   25   23   21   13   25   35 438.018351 0.000000 FAILURE  56
010010111   33   29   41   35   37   22   39   24 341.462904 0.000000 FAILURE  57
010011011   41   31   25   27   33   22   35   36 354.543422 0.000000 FAILURE  58
010011111  101  103  122  109  111  138   90  117 40.700070 0.000002 FAILURE  59
010100011   32   35   30   27   33   19   23   28 386.286842 0.000000 FAILURE  60
010100111   31   31   28   36   26   26   37   19 376.647649 0.000000 FAILURE  61
010101011   12    6   13   10   12    5   10   11 629.022326 0.000000 FAILURE  62
010101111   44   44   36   31   43   46   47   42 248.162054 0.000000 FAILURE  63
010110011   26   38   40   38   31   27   42   37 315.283774 0.000000 FAILURE  64
010110111   39   53   46   36   44   44   44   33 242.000371 0.000000 FAILURE  65
010111011   49   34   36   31   43   48   45   23 280.914214 0.000000 FAILURE  66
010111111  172  190  147  145  133  224  163  136 490.583821 0.000000 FAILURE  67
011000111   66   74   74   77   78   85   76   81 31.636081 0.000108 FAILURE  68
011001111  124  157  116  115  125  145  127  137 130.020575 0.000000 FAILURE  69
011010111   26   34   29   29   41   30   36   33 342.256924 0.000000 FAILURE  70
011011111  135  151  150  130  151  213  171  120 357.757397 0.000000 FAILURE  71
011101111  159  153  167  165  182  191  187  152 507.233678 0.000000 FAILURE  72
011111111  727  803  721  593  706 1266  834  617 44867.699847 0.000000 FAILURE  73
100000000  401  382  428  537  452  177  337  526 9420.478965 0.000000 FAILURE  74
100010000  113  105  113  137  124   49  120  141 90.711428 0.000000 FAILURE  75
100100000  115   97  133  138  103   42   79  123 83.641025 0.000000 FAILURE  76
100101000   30   37   20   26   20   14   25   26 430.986523 0.000000 FAILURE  77
100110000  101  112  105  114   96   46   78  123 46.663077 0.000000 FAILURE  78
100111000  102   70   76   72   75   48   61   68 64.837822 0.000000 FAILURE  79
101000000   93   93   89  134  109   46   97  119 51.953249 0.000000 FAILURE  80
101000100   42   33   28   24   33   19   27   39 362.951644 0.000000 FAILURE  81
101001000   40   42   30   33   36   16   30   36 338.698851 0.000000 FAILURE  82
101001100   38   30   30   36   28   13   23   21 400.889177 0.000000 FAILURE  83
101010000   24   27   20   33   27   18   22   29 426.085169 0.000000 FAILURE  84
101010100   13   10   14    8    9    9   11   12 615.821988 0.000000 FAILURE  85
