		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   83  106   93  105  100   88   83   88  6.856558 0.552185 SUCCESS   0
000000011   90   99  110   99   83   82   89   96  6.827200 0.555386 SUCCESS   1
000000101   78   98   85   82  103  103   84   87  9.335568 0.314783 SUCCESS   2
000000111   92   98  100  104   80  103   86   94  5.395164 0.714625 SUCCESS   3
000001001   67   92  101  103   93   94   75   86 14.722006 0.064782 SUCCESS   4
000001011  102   89   87   83   80  108   76   99 11.374215 0.181384 SUCCESS   5
000001101   97   97  111   99  106   83   87  100  7.078447 0.528193 SUCCESS   6
000001111   94   95   93  107   81  116   80  103 11.816968 0.159559 SUCCESS   7
000010001   86   74   87   88   98   84   83   95  9.473139 0.303966 SUCCESS   8
000010011   88   93   95  102   96   82   91   86  3.846721 0.870681 SUCCESS   9
000010101   90   88   90   80   93   84   93  110  7.186319 0.516670 SUCCESS  10
000010111  103  108   92   88   77  102   85   93  8.312831 0.403524 SUCCESS  11
000011001   96  108  112   92   95   95  108  100  7.570698 0.476487 SUCCESS  12
000011011   97  100  118   87  106   91  100  104  9.766715 0.281783 SUCCESS  13
000011101  106   80  114  103   91   76   94   79 15.235422 0.054726 SUCCESS  14
000011111  101  106  111  100   80  122   91   93 15.749180 0.046114 SUCCESS  15
000100011   83   81   74   82   92  104   99  104 12.135806 0.145247 SUCCESS  16
000100101   96   90   83   77   96   99   91   89  5.879905 0.660682 SUCCESS  17
000100111   86   96   82  106   85   97   91   87  5.867957 0.662020 SUCCESS  18
000101001   90   79   86  101  107   97   97   91  6.106232 0.635334 SUCCESS  19
000101011   95   88   99   85   86   88   90   95  3.261275 0.916907 SUCCESS  20
000101101  103   98   79   91   82   92  114   71 15.743036 0.046209 SUCCESS  21
000101111   93   89  107  106   79   93   94   89  6.513825 0.589875 SUCCESS  22
000110011  101  100   98  101  102   86  100  112  6.304225 0.613195 SUCCESS  23
000110101   79   93   96  112  110  101   71  118 21.082706 0.006931 FAILURE  24
000110111  102   93  115  101  106  106  103  104 10.080432 0.259426 SUCCESS  25
000111001   86   97   74  101   78   93  105   94 10.223124 0.249714 SUCCESS  26
000111011  100   88  109   88  101  102  100  100  5.169520 0.739314 SUCCESS  27
000111101   93   95   90   99   81  103   89   93  3.656238 0.886732 SUCCESS  28
000111111   89  113   92   81   81  120  104   99 16.345549 0.037693 SUCCESS  29
