		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  103  100  101   83   97   93   98  108  5.144600 0.742015 SUCCESS  76
100101000   88  104   76   81   99   93   87   99  8.369840 0.398202 SUCCESS  77
100110000   90  103   79   78   93   83   90  102  9.059061 0.337338 SUCCESS  78
100111000   80   93   89   97  114   91   83   93  8.539499 0.382618 SUCCESS  79
101000000   86   91   95   90   82   91   93   90  3.378706 0.908397 SUCCESS  80
101000100   90   91  107   95   95  110   93  104  5.595888 0.692395 SUCCESS  81
101001000  104  118   95   96   94   88   81  103 10.206397 0.250837 SUCCESS  82
101001100  105  109  101  106  101   81   96  112 11.025679 0.200248 SUCCESS  83
101010000   74   90   95  109   91  105  101   84 10.144268 0.255046 SUCCESS  84
101010100   92  102   78  101  101  103  107  108  8.934120 0.347884 SUCCESS  85
101011000   99   91   79   97   83  102   97  104  6.178602 0.627233 SUCCESS  86
101011100   98  112   86   99   99   94   88   89  5.474361 0.705879 SUCCESS  87
101100000  104  106   93   99   90   93   96   97  2.934928 0.938374 SUCCESS  88
101100100   95   97  100  108  104  100  102   88  4.644496 0.794809 SUCCESS  89
101101000   78   90  101   96   89   92   82   96  5.934183 0.654604 SUCCESS  90
101101100  112  111   99   93   95   96   84   99  7.896704 0.443625 SUCCESS  91
101110000  107   89  102  106   86   90   89  101  5.848841 0.664159 SUCCESS  92
101110100  103  120   90  107   85  113   79   87 17.681320 0.023747 SUCCESS  93
101111000  118  104   97   90   84   92   99   99  8.924220 0.348729 SUCCESS  94
101111100   82  106   83  103   99   90  110   95  8.412511 0.394246 SUCCESS  95
110000000  101   94   90   88   84   98   96   87  3.194367 0.921574 SUCCESS  96
110000010  105   91   96  108   95   84   89   98  4.989960 0.758649 SUCCESS  97
110000100   84   79   76   93  107   93   76   99 13.469870 0.096673 SUCCESS  98
110001000   93   99   88   90  104   81   93  104  4.933293 0.764681 SUCCESS  99
110001010   98   80   99  116   94   98   95   91  7.920600 0.441264 SUCCESS 100
110010000   94   83  102   82   87   98   93   93  4.658834 0.793340 SUCCESS 101
110010010   91  105   92   97  108  103   94   93  4.183309 0.840217 SUCCESS 102
110010100   91  110   88   84   85   99   91  102  6.404587 0.602009 SUCCESS 103
110011000   91   96   97   85   90   69   89   81 11.078591 0.197286 SUCCESS 104
110011010   97   95   83   95  111   96  103   98  5.360003 0.718496 SUCCESS 105
110100000   96   96   96   84   92  113   96   91  5.215946 0.734266 SUCCESS 106
110100010   81   68  107   95   93  107   93  100 13.505713 0.095594 SUCCESS 107
110100100  105  101   94  103  100   84   79  107  8.262650 0.408243 SUCCESS 108
110101000   84   96   92  113  101  104   90   89  6.988667 0.537856 SUCCESS 109
110101010   93   95   75  104  117  110   98  100 13.653184 0.091265 SUCCESS 110
110101100   88   99   86   93   97   98   95   87  2.367234 0.967635 SUCCESS 111
110110000  104   91  104  101  106   85   99   98  5.235062 0.732182 SUCCESS 112
110110010   92  102  100  100  102  104   75   91  7.196560 0.515582 SUCCESS 113
110110100   92   98   96  103   94  102   82   91  3.468827 0.901595 SUCCESS 114
110111000  110   97  108  104   86   95  104   98  7.410938 0.493012 SUCCESS 115
110111010  110  112   79   97   78  116   85   99 17.820598 0.022612 SUCCESS 116
110111100   90   92  102   96   94   95   99   97  1.192247 0.996718 SUCCESS 117
111000000  100   92   98   95   86   98   88   99  2.143638 0.976289 SUCCESS 118
111000010   97   85   94   94  102   96  104   83  4.135518 0.844694 SUCCESS 119
111000100   81   95   94  102   90   94  103   94  3.640535 0.888013 SUCCESS 120
111000110   89   96  101   78   89   87  120  110 14.413068 0.071614 SUCCESS 121
111001000   96  100   96   82   74  103  102   87  8.757974 0.363123 SUCCESS 122
