		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   97   85   96   92  105   76   78  102  9.774908 0.281181 SUCCESS   0
000000011   98   98   78   95  103   83   87   94  6.173140 0.627845 SUCCESS   1
000000101   83   99  119   90   84   79   95   98 12.445767 0.132395 SUCCESS   2
000000111  107   98   92   95   93   81  107   92  5.670988 0.684031 SUCCESS   3
000001001   88   81   90  101  106   85  101   94  6.070047 0.639386 SUCCESS   4
000001011   90   93  108  106   81  100   94   88  6.454427 0.596467 SUCCESS   5
000001101   77  102   86  116   97   98   87   93 10.642323 0.222801 SUCCESS   6
000001111  117   98  102   89   86   92   93   90  7.673450 0.466001 SUCCESS   7
000010001   99   90  103   89   98   91   81   89  4.213691 0.837347 SUCCESS   8
000010011  106   86  108   90   97   99   76  109 10.717082 0.218251 SUCCESS   9
000010101   83   84  110   94  100   79   79   86 11.801265 0.160294 SUCCESS  10
000010111   96   92   96  101   94   99  101   89  1.552390 0.991803 SUCCESS  11
000011001   93  101   86   95   92   86   87   87  3.475996 0.901045 SUCCESS  12
000011011   88  103   98   98   98  100   93   93  1.978075 0.981677 SUCCESS  13
000011101  102   99   92   76   90   89  109   82  9.264222 0.320499 SUCCESS  14
000011111  117  100   80   82  101   98  100   88 11.216503 0.189731 SUCCESS  15
000100011   94   98   99   78   92   94  107   74  9.777980 0.280956 SUCCESS  16
000100101   79   94   85  104  106   88   96  107  8.227831 0.411537 SUCCESS  17
000100111  103   96  114   97   89   90   77  106 10.320072 0.243276 SUCCESS  18
000101001   89  102  109   95   98   97   96  100  3.691398 0.883838 SUCCESS  19
000101011   99  103   97   90   92  100   91  104  2.745811 0.949283 SUCCESS  20
000101101   83  103   75  113   83   96  101   85 13.109386 0.108141 SUCCESS  21
000101111  104   92   96  102   99   89  108   98  4.251924 0.833709 SUCCESS  22
000110011   88  103   88   91   84   74   93   98  7.941082 0.439247 SUCCESS  23
000110101   86  106  103  106   87   89   91   97  5.583598 0.693761 SUCCESS  24
000110111   83  106   89   98   85   88   88   89  5.708197 0.679880 SUCCESS  25
000111001   84   86   74   94  103   82  109  103 12.250505 0.140372 SUCCESS  26
000111011   91  105   86   82   81   93  105   86  7.947227 0.438642 SUCCESS  27
000111101  101   85  100   81   91   86   95   75  9.008538 0.341576 SUCCESS  28
000111111  103  108   88   98  112  115  108   86 13.861418 0.085450 SUCCESS  29
001000011   99   78   95   85   94   79  102   74 12.206469 0.142227 SUCCESS  30
001000101  105   81   86   91  101  109   81   85  9.919648 0.270711 SUCCESS  31
001000111   95   85   92   88  103   98   97   79  5.208094 0.735121 SUCCESS  32
001001011   81   85   99   91   95  110   93  104  6.964430 0.540475 SUCCESS  33
